"date","value"
2020-01-01,4.1495
2020-02-01,4.341
2020-03-01,4.8839
2020-04-01,5.3256
2020-05-01,5.6434
2020-06-01,5.1966
2020-07-01,5.2802
2020-08-01,5.4612
2020-09-01,5.3995
2020-10-01,5.6258
2020-11-01,5.4178
2020-12-01,5.1456
2021-01-01,5.3562
2021-02-01,5.4165
2021-03-01,5.6461
2021-04-01,5.5621
2021-05-01,5.2911
2021-06-01,5.0319
2021-07-01,5.1567
2021-08-01,5.2517
2021-09-01,5.2797
2021-10-01,5.54
2021-11-01,5.5569
2021-12-01,5.6514
2022-01-01,5.5341
2022-02-01,5.1966
2022-03-01,4.9684
2022-04-01,4.758
2022-05-01,4.9551
2022-06-01,5.0492
2022-07-01,5.3681
2022-08-01,5.1433
2022-09-01,5.237
2022-10-01,5.2503
2022-11-01,5.2747
2022-12-01,5.2424
2023-01-01,5.2007
2023-02-01,5.1717
2023-03-01,5.2115
2023-04-01,5.0197
2023-05-01,4.9828
2023-06-01,4.8516
2023-07-01,4.8008
2023-08-01,4.9035
2023-09-01,4.937
2023-10-01,5.0648
2023-11-01,4.8983
2023-12-01,4.8972
2024-01-01,4.9144
2024-02-01,4.9644
2024-03-01,4.9801
2024-04-01,5.1291
2024-05-01,5.133
2024-06-01,5.389
2024-07-01,5.542
2024-08-01,5.5526
2024-09-01,5.5416
2024-10-01,5.6241
2024-11-01,5.8071
2024-12-01,6.097
2025-01-01,6.0218
2025-02-01,5.7656
2025-03-01,5.7468
2025-04-01,5.7837
2025-05-01,5.6674
2025-06-01,5.5471
2025-07-01,5.5285
2025-08-01,5.4469
2025-09-01,5.3674
