"data_ref","ano_mes","expectativa_mensal"
"2017","2018-01",2.79
"2018","2018-01",3.94954545454545
"2019","2018-01",4.25
"2020","2018-01",4
"2021","2018-01",4
"2022","2018-01",4.003125
"2018","2018-02",3.82888888888889
"2019","2018-02",4.25
"2020","2018-02",4
"2021","2018-02",4
"2022","2018-02",4
"2018","2018-03",3.63380952380952
"2019","2018-03",4.17904761904762
"2020","2018-03",4
"2021","2018-03",4
"2022","2018-03",4
"2018","2018-04",3.49809523809524
"2019","2018-04",4.05095238095238
"2020","2018-04",4
"2021","2018-04",4
"2022","2018-04",4
"2018","2018-05",3.52428571428571
"2019","2018-05",4.01095238095238
"2020","2018-05",4
"2021","2018-05",4
"2022","2018-05",4
"2018","2018-06",3.86904761904762
"2019","2018-06",4.07904761904762
"2020","2018-06",4
"2021","2018-06",4
"2022","2018-06",4
"2018","2018-07",4.11545454545455
"2019","2018-07",4.1
"2020","2018-07",4
"2021","2018-07",3.98363636363636
"2022","2018-07",3.88409090909091
"2018","2018-08",4.14434782608696
"2019","2018-08",4.10652173913043
"2020","2018-08",4
"2021","2018-08",3.93304347826087
"2022","2018-08",3.75
"2018","2018-09",4.17842105263158
"2019","2018-09",4.14263157894737
"2020","2018-09",4
"2021","2018-09",3.90947368421053
"2022","2018-09",3.75
"2018","2018-10",4.40545454545455
"2019","2018-10",4.21181818181818
"2020","2018-10",4
"2021","2018-10",3.92
"2022","2018-10",3.75
"2018","2018-11",4.115
"2019","2018-11",4.1725
"2020","2018-11",4
"2021","2018-11",3.8955
"2022","2018-11",3.75
"2018","2018-12",3.7335
"2019","2018-12",4.053
"2020","2018-12",4
"2021","2018-12",3.7555
"2022","2018-12",3.75
"2018","2019-01",3.69428571428571
"2019","2019-01",4.00636363636364
"2020","2019-01",4
"2021","2019-01",3.75
"2022","2019-01",3.75
"2023","2019-01",3.75
"2019","2019-02",3.8755
"2020","2019-02",4
"2021","2019-02",3.75
"2022","2019-02",3.75
"2023","2019-02",3.75
"2019","2019-03",3.88473684210526
"2020","2019-03",4
"2021","2019-03",3.75
"2022","2019-03",3.75
"2023","2019-03",3.75
"2019","2019-04",3.98619047619048
"2020","2019-04",4
"2021","2019-04",3.75
