"date","value"
2020-01-01,94.02717
2020-02-01,94.32374
2020-03-01,95.59387
2020-04-01,83.78478
2020-05-01,84.48401
2020-06-01,89.05321
2020-07-01,95.69757
2020-08-01,95.2136
2020-09-01,96.06677
2020-10-01,98.01509
2020-11-01,96.68356
2020-12-01,97.50437
2021-01-01,92.112
2021-02-01,94.07584
2021-03-01,101.24463
2021-04-01,97.30797
2021-05-01,96.1915
2021-06-01,96.45711
2021-07-01,99.91641
2021-08-01,99.30067
2021-09-01,97.12872
2021-10-01,96.50704
2021-11-01,97.79362
2021-12-01,99.18551
2022-01-01,91.92328
2022-02-01,95.65889
2022-03-01,104.68858
2022-04-01,100.16982
2022-05-01,99.77589
2022-06-01,99.26554
2022-07-01,104.00469
2022-08-01,104.55098
2022-09-01,101.1293
2022-10-01,100.03891
2022-11-01,98.94578
2022-12-01,99.84833
2023-01-01,95.33411
2023-02-01,98.66272
2023-03-01,110.75569
2023-04-01,103.93224
2023-05-01,102.77692
2023-06-01,102.1949
2023-07-01,105.39057
2023-08-01,106.08838
2023-09-01,101.78629
2023-10-01,101.94169
2023-11-01,101.61864
2023-12-01,101.6281
2024-01-01,99.37311
2024-02-01,102.27645
2024-03-01,109.77704
2024-04-01,109.29837
2024-05-01,104.7112
2024-06-01,105.80196
2024-07-01,111.64948
2024-08-01,110.15049
2024-09-01,107.13101
2024-10-01,109.17928
2024-11-01,105.39942
2024-12-01,104.10131
2025-01-01,102.91442
2025-02-01,106.85842
2025-03-01,113.93961
2025-04-01,112.29851
2025-05-01,108.46495
2025-06-01,107.22845
2025-07-01,112.9835
2025-08-01,110.28542
2025-09-01,NA
