"data","CAGED12_SALDON12","JPM366_EMBI366"
2020-01-01,92678,NA
2020-02-01,198368,NA
2020-03-01,-232316,NA
2020-04-01,-902317,414
2020-05-01,-352790,422
2020-06-01,-23111,386
2020-07-01,123297,372
2020-08-01,238125,NA
2020-09-01,313564,314
2020-10-01,388938,343
2020-11-01,408948,NA
2020-12-01,-82118,264
2021-01-01,257059,NA
2021-02-01,397915,283
2021-03-01,176330,296
2021-04-01,113922,292
2021-05-01,278705,NA
2021-06-01,310036,260
2021-07-01,316725,276
2021-08-01,373344,NA
2021-09-01,316993,304
2021-10-01,253083,333
2021-11-01,324112,366
2021-12-01,-265811,355
2022-01-01,155178,NA
2022-02-01,328507,331
2022-03-01,136189,339
2022-04-01,196966,295
2022-05-01,277018,NA
2022-06-01,277944,302
2022-07-01,218902,362
2022-08-01,278639,312
2022-09-01,278085,281
2022-10-01,159454,NA
2022-11-01,135495,261
2022-12-01,-431011,253
2023-01-01,83297,NA
2023-02-01,241785,257
2023-03-01,195171,247
2023-04-01,180005,NA
2023-05-01,155270,252
2023-06-01,157198,252
2023-07-01,142702,NA
2023-08-01,220844,198
2023-09-01,211764,208
2023-10-01,190366,NA
2023-11-01,130097,200
2023-12-01,-430159,193
2024-01-01,180395,NA
2024-02-01,306111,225
2024-03-01,244315,207
2024-04-01,240033,208
2024-05-01,131811,209
2024-06-01,201705,NA
2024-07-01,188021,235
2024-08-01,232513,NA
2024-09-01,247818,NA
2024-10-01,132714,NA
2024-11-01,106625,NA
2024-12-01,-535547,NA
2025-01-01,137303,NA
2025-02-01,431995,NA
2025-03-01,71576,NA
2025-04-01,257528,NA
2025-05-01,148992,NA
2025-06-01,166621,NA
2025-07-01,129775,NA
2025-08-01,147358,NA
1994-04-29,NA,1120
1994-05-02,NA,1131
1994-05-03,NA,1081
1994-05-04,NA,1083
1994-05-05,NA,1105
1994-05-06,NA,1151
1994-05-09,NA,1179
1994-05-10,NA,1193
1994-05-11,NA,1185
1994-05-12,NA,1167
1994-05-13,NA,1200
1994-05-16,NA,1251
1994-05-17,NA,1277
1994-05-18,NA,1256
1994-05-19,NA,1173
1994-05-20,NA,1173
1994-05-23,NA,1105
1994-05-24,NA,1080
1994-05-25,NA,1061
1994-05-26,NA,1072
1994-05-27,NA,1070
1994-05-31,NA,1079
1994-06-01,NA,1103
1994-06-02,NA,1123
1994-06-03,NA,1103
1994-06-06,NA,1087
1994-06-07,NA,1047
1994-06-08,NA,1024
1994-06-09,NA,1045
1994-06-10,NA,1028
1994-06-13,NA,1055
1994-06-14,NA,1069
1994-06-15,NA,1077
1994-06-16,NA,1102
1994-06-17,NA,1101
1994-06-20,NA,1126
1994-06-21,NA,1142
1994-06-22,NA,1126
1994-06-23,NA,1129
1994-06-24,NA,1158
1994-06-27,NA,1173
1994-06-28,NA,1177
1994-06-29,NA,1161
1994-06-30,NA,1183
1994-07-01,NA,1179
1994-07-05,NA,1169
1994-07-06,NA,1168
1994-07-07,NA,1135
1994-07-08,NA,1121
1994-07-11,NA,1114
1994-07-12,NA,1102
1994-07-13,NA,1100
1994-07-14,NA,1076
1994-07-15,NA,1074
1994-07-18,NA,1084
1994-07-19,NA,1099
1994-07-20,NA,1106
1994-07-21,NA,1118
1994-07-22,NA,1106
1994-07-25,NA,1117
1994-07-26,NA,1116
1994-07-27,NA,1110
1994-07-28,NA,1096
1994-07-29,NA,1096
1994-08-01,NA,1092
1994-08-02,NA,1070
1994-08-03,NA,1047
1994-08-04,NA,1038
1994-08-05,NA,1020
1994-08-08,NA,972
1994-08-09,NA,971
1994-08-10,NA,948
1994-08-11,NA,933
1994-08-12,NA,922
1994-08-15,NA,875
1994-08-16,NA,867
1994-08-17,NA,882
1994-08-18,NA,900
1994-08-19,NA,877
1994-08-22,NA,818
1994-08-23,NA,811
1994-08-24,NA,819
1994-08-25,NA,848
1994-08-26,NA,850
1994-08-29,NA,866
1994-08-30,NA,830
1994-08-31,NA,813
1994-09-01,NA,825
1994-09-02,NA,835
1994-09-06,NA,878
1994-09-07,NA,856
1994-09-08,NA,835
1994-09-09,NA,829
1994-09-12,NA,840
1994-09-13,NA,813
1994-09-14,NA,805
1994-09-15,NA,820
1994-09-16,NA,815
1994-09-19,NA,824
1994-09-20,NA,824
1994-09-21,NA,824
1994-09-22,NA,795
1994-09-23,NA,766
1994-09-26,NA,777
1994-09-27,NA,772
1994-09-28,NA,762
1994-09-29,NA,755
1994-09-30,NA,739
1994-10-03,NA,724
1994-10-04,NA,724
1994-10-05,NA,732
1994-10-06,NA,745
1994-10-07,NA,752
1994-10-11,NA,756
1994-10-12,NA,759
1994-10-13,NA,751
1994-10-14,NA,758
1994-10-17,NA,767
1994-10-18,NA,774
1994-10-19,NA,785
1994-10-20,NA,777
1994-10-21,NA,777
1994-10-24,NA,791
1994-10-25,NA,819
1994-10-26,NA,822
1994-10-27,NA,859
1994-10-28,NA,839
1994-10-31,NA,852
1994-11-01,NA,868
1994-11-02,NA,905
1994-11-03,NA,913
1994-11-04,NA,900
1994-11-07,NA,899
1994-11-08,NA,874
1994-11-09,NA,852
1994-11-10,NA,849
1994-11-14,NA,826
1994-11-15,NA,807
1994-11-16,NA,818
1994-11-17,NA,846
1994-11-18,NA,852
1994-11-21,NA,886
1994-11-22,NA,871
1994-11-23,NA,867
1994-11-25,NA,869
1994-11-28,NA,859
1994-11-29,NA,839
1994-11-30,NA,817
1994-12-01,NA,814
1994-12-02,NA,807
1994-12-05,NA,811
1994-12-06,NA,812
1994-12-07,NA,821
1994-12-08,NA,823
1994-12-09,NA,812
1994-12-12,NA,814
1994-12-13,NA,798
1994-12-14,NA,787
1994-12-15,NA,784
1994-12-16,NA,797
1994-12-19,NA,798
1994-12-20,NA,803
1994-12-21,NA,857
1994-12-22,NA,919
1994-12-23,NA,876
1994-12-27,NA,980
1994-12-28,NA,947
1994-12-29,NA,895
1994-12-30,NA,923
1995-01-03,NA,924
1995-01-04,NA,985
1995-01-05,NA,957
1995-01-06,NA,988
1995-01-09,NA,1162
1995-01-10,NA,1362
1995-01-11,NA,1250
1995-01-12,NA,1042
1995-01-13,NA,1010
1995-01-17,NA,1035
1995-01-18,NA,1019
1995-01-19,NA,1055
1995-01-20,NA,1064
1995-01-23,NA,1072
1995-01-24,NA,1049
1995-01-25,NA,1063
1995-01-26,NA,1048
1995-01-27,NA,1108
1995-01-30,NA,1175
1995-01-31,NA,1057
1995-02-01,NA,1055
1995-02-02,NA,1085
1995-02-03,NA,1047
1995-02-06,NA,1019
1995-02-07,NA,1041
1995-02-08,NA,1077
1995-02-09,NA,1099
1995-02-10,NA,1119
1995-02-13,NA,1131
1995-02-14,NA,1170
1995-02-15,NA,1198
1995-02-16,NA,1216
1995-02-17,NA,1146
1995-02-21,NA,1180
1995-02-22,NA,1219
1995-02-23,NA,1184
1995-02-24,NA,1195
1995-02-27,NA,1229
1995-02-28,NA,1214
1995-03-01,NA,1244
1995-03-02,NA,1300
