"date","value"
2020-01-01,0.71
2020-02-01,0.78
2020-03-01,0.85
2020-04-01,2.21
2020-05-01,3.81
2020-06-01,6.18
2020-07-01,7.22
2020-08-01,8.21
2020-09-01,8.77
2020-10-01,8.82
2020-11-01,8.81
2020-12-01,9.24
2021-01-01,9.13
2021-02-01,8.91
2021-03-01,8.4
2021-04-01,6.75
2021-05-01,5.21
2021-06-01,3.66
2021-07-01,2.77
2021-08-01,1.52
2021-09-01,0.61
2021-10-01,0.23
2021-11-01,-0.14
2021-12-01,-0.72
2022-01-01,-1.19
2022-02-01,-1.36
2022-03-01,-1.34
2022-04-01,-1.48
2022-05-01,-1.28
2022-06-01,-2.11
2022-07-01,-2.4
2022-08-01,-1.89
2022-09-01,-1.85
2022-10-01,-1.75
2022-11-01,-1.38
2022-12-01,-1.25
2023-01-01,-1.21
2023-02-01,-0.91
2023-03-01,-0.72
2023-04-01,-0.54
2023-05-01,-0.37
2023-06-01,0.23
2023-07-01,0.76
2023-08-01,0.69
2023-09-01,0.95
2023-10-01,1.06
2023-11-01,1.21
2023-12-01,2.28
2024-01-01,2.23
2024-02-01,2.42
2024-03-01,2.27
2024-04-01,2.38
2024-05-01,2.49
2024-06-01,2.41
2024-07-01,2.26
2024-08-01,2.24
2024-09-01,2.13
2024-10-01,1.92
2024-11-01,1.65
2024-12-01,0.4
2025-01-01,0.39
2025-02-01,0.13
2025-03-01,0.11
2025-04-01,0.05
2025-05-01,-0.2
2025-06-01,-0.15
2025-07-01,0.22
2025-08-01,0.19
2025-09-01,NA
